,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type,Wilderness_Area,Cover_Type
1045,2988,69,14,228,3,4298,234,211,106,3596,20,1,2
1046,2170,8,23,0,0,1216,187,188,132,792,17,4,4
1047,2863,210,20,297,92,1048,201,254,182,1766,13,3,5
1048,3314,71,12,402,84,875,233,216,113,1154,39,3,7
1049,3281,57,14,384,-33,3276,229,209,110,1962,39,3,7
1050,2639,103,36,541,231,513,252,171,13,1443,4,3,3
1051,2593,38,21,120,-6,769,215,190,101,1266,10,3,3
1052,2079,120,16,30,6,1288,246,225,103,607,1,4,4
1053,2567,111,3,272,69,1084,225,236,145,1560,4,3,3
1054,3377,203,7,90,-6,2899,217,247,166,481,38,3,7
1055,2464,25,15,242,108,582,211,206,128,750,10,3,6
1056,3812,17,13,1047,403,4602,209,213,139,2694,40,3,7
1057,2456,124,14,108,14,1884,242,229,114,67,2,3,3
1058,2456,116,6,30,2,808,231,234,137,700,4,3,3
1059,2056,56,7,0,0,858,225,226,135,218,1,4,4
1060,3447,35,8,42,2,3207,219,224,140,2418,35,1,7
1061,3417,195,13,443,105,4268,217,251,165,3026,33,3,7
1062,2648,158,5,0,0,30,226,241,149,845,17,3,2
1063,2958,39,25,351,134,4440,211,176,87,932,29,1,2
1064,2075,4,29,150,53,234,170,171,128,242,10,4,3
1065,2955,60,20,201,33,4934,231,195,88,3248,29,1,1
1066,3286,322,6,658,96,696,205,234,168,725,32,3,1
1067,2473,6,5,192,73,660,214,230,154,1575,6,4,3
1068,2454,23,32,120,48,1055,185,156,90,1061,10,3,6
1069,2559,336,14,30,12,2006,187,220,171,524,10,3,6
1070,3132,358,8,295,30,1511,208,225,155,1154,24,2,2
1071,2402,351,10,234,98,361,203,224,159,306,10,4,3
1072,2492,71,12,42,9,270,233,216,113,1631,5,4,4
1073,3245,33,12,335,46,430,218,214,131,1298,23,2,1
1074,3105,339,18,350,88,778,180,212,170,1690,22,3,1
1075,3842,31,7,1015,393,4685,218,225,143,2744,40,3,7
1076,2334,297,18,330,51,1260,168,232,203,942,11,4,6
1077,2794,69,8,0,0,646,229,224,128,170,30,1,5
1078,3178,343,9,806,137,4327,202,226,163,2089,29,1,1
1079,2968,338,11,216,23,3426,196,225,167,6508,20,1,1
1080,3132,52,9,60,-1,1892,225,221,130,408,23,1,1
1081,2994,86,10,255,57,4737,234,224,120,1538,29,1,2
1082,3343,175,13,404,64,3978,227,247,149,1939,38,3,7
1083,3335,185,15,120,19,3720,221,249,157,1889,38,3,7
1084,3408,357,17,499,60,3972,191,207,152,3458,39,3,7
1085,1999,46,37,67,51,153,204,135,36,384,1,4,3
1086,3208,338,5,90,-5,3141,209,233,162,1440,29,1,1
1087,3271,85,17,300,84,874,242,209,91,1001,39,3,7
1088,2806,198,4,532,41,1994,218,243,161,1922,17,3,5
1089,2374,131,20,379,177,708,248,224,95,1639,6,4,4
1090,2805,83,18,95,40,1716,242,206,88,1624,33,3,5
1091,3268,176,12,323,38,4447,226,246,150,2418,33,3,1
1092,2793,48,23,30,16,3217,221,183,84,4970,29,1,2
1093,2730,355,19,85,13,1448,186,204,153,2012,33,3,2
1094,3150,338,17,342,78,3120,182,214,171,2503,31,3,1
1095,2404,35,22,60,-5,849,211,186,100,1159,10,3,6
1096,2936,353,6,150,27,4767,210,230,158,4255,23,1,1
1097,2582,30,19,42,14,972,211,196,115,1012,20,3,6
1098,2678,128,5,95,23,1660,229,236,141,6546,12,1,2
1099,2826,46,27,258,145,283,216,170,73,1423,30,1,5
1100,2259,333,21,162,40,1215,166,207,177,732,10,4,6
1101,3372,265,6,30,4,4288,205,243,176,4195,40,1,7
1102,3113,106,20,295,-2,942,250,210,79,1167,22,3,2
1103,1949,347,22,60,28,330,173,199,161,708,1,4,6
1104,3377,287,5,201,13,1630,206,240,172,853,38,3,7
1105,2075,157,40,108,66,335,229,210,71,360,6,4,3
1106,3154,54,15,361,67,5023,228,207,109,3302,30,1,1
1107,2789,57,8,400,56,702,226,223,131,2484,29,1,2
1108,2273,185,16,443,115,1379,221,249,156,864,2,4,4
1109,2799,83,10,150,26,828,235,222,119,2694,11,3,2
1110,2765,324,13,446,123,1964,188,226,178,2203,10,3,6
1111,3175,128,26,277,51,3601,252,214,73,277,33,3,1
1112,2248,140,30,108,65,1209,248,215,71,1084,3,4,4
1113,3309,14,7,390,81,3900,213,225,149,1410,40,1,1
1114,2707,109,9,408,-20,698,236,230,124,240,4,3,6
1115,2160,108,32,85,47,1006,254,185,32,361,3,4,4
1116,3309,357,14,306,82,1697,197,213,153,2821,39,1,1
1117,2314,122,16,382,134,1176,245,226,105,1195,6,4,4
1118,3135,45,1,95,0,4055,219,235,153,1632,23,1,2
1119,2408,105,17,283,110,859,247,216,91,825,3,4,3
1120,2609,14,21,201,61,417,196,192,127,1276,10,3,6
1121,2876,337,12,589,110,2144,193,223,169,799,11,3,5
1122,2221,354,17,0,0,1140,189,207,155,404,17,4,4
1123,3368,35,15,90,19,2978,217,206,121,1639,38,3,7
1124,3405,348,13,1022,66,1320,194,217,161,1786,38,3,7
1125,3234,20,13,443,-2,4224,210,211,136,646,24,3,1
1126,3260,207,11,309,59,3612,213,250,172,2839,23,1,1
1127,2533,54,6,90,2,2506,224,227,138,2431,17,3,6
1128,2565,143,19,85,34,900,244,232,108,256,30,1,2
1129,2268,122,24,170,75,979,252,213,73,1321,3,4,4
1130,2962,108,9,150,4,3840,236,230,125,1320,30,1,2
1131,2252,70,28,67,36,541,237,173,49,969,1,4,6
1132,2865,274,6,300,100,2077,203,242,177,792,31,3,5
1133,2724,56,25,108,43,1230,227,180,72,543,24,3,6
1134,2793,119,17,30,-2,2810,247,222,97,2274,29,1,5
1135,2563,76,4,598,10,1150,225,232,143,1436,2,3,3
1136,2378,83,22,60,16,713,244,197,72,1549,5,4,6
1137,2128,2,11,0,0,858,205,219,151,603,14,4,4
1138,2541,185,15,60,2,1167,222,249,156,1921,4,3,3
1139,2294,312,32,180,97,899,118,198,211,1473,10,4,3
1140,2490,74,18,67,9,1103,239,202,88,977,17,3,3
1141,2195,22,21,30,13,1385,202,190,118,721,10,4,3
1142,2038,110,11,0,0,685,239,228,118,690,1,4,4
1143,2288,184,4,0,0,201,220,242,157,433,11,4,4
1144,3352,13,5,430,131,2083,215,229,151,2329,32,2,2
1145,2129,341,27,30,19,1209,152,188,168,1115,17,4,4
1146,3378,326,14,67,2,2502,183,223,179,2509,38,3,7
1147,2070,317,9,0,0,607,196,232,176,124,3,4,4
1148,2457,282,22,90,24,283,154,235,218,42,10,4,2
1149,3332,359,19,573,186,3811,189,202,148,3593,40,3,7
1150,3400,220,8,85,7,2793,210,248,174,492,38,3,7
1151,2432,285,20,60,18,351,160,235,213,891,10,4,3
1152,2255,66,20,0,0,420,235,196,85,1691,4,4,4
1153,2116,58,31,192,71,268,225,160,46,433,10,4,6
1154,2239,299,24,85,36,1595,147,224,213,285,10,4,6
1155,2215,331,26,270,92,636,149,197,182,134,10,4,6
1156,2494,45,10,162,21,540,223,218,129,1429,6,4,3
1157,2310,191,23,339,129,1214,212,250,160,1142,3,4,4
1158,3262,71,15,426,93,1436,236,210,102,1440,29,1,7
1159,2949,99,22,309,204,2037,250,204,71,666,13,3,5
1160,2696,45,9,85,7,150,223,221,133,912,11,3,5
1161,3381,175,10,1092,142,2874,226,245,151,1672,38,3,7
1162,1993,48,31,60,55,134,214,157,56,532,10,4,3
1163,3388,60,5,124,-8,2250,224,229,140,3532,38,1,7
1164,3378,95,8,242,39,1744,234,228,126,3166,38,2,1
1165,2198,143,22,0,0,792,245,230,102,421,4,4,4
1166,2861,0,4,0,0,1544,213,232,156,1337,29,1,1
1167,2301,122,3,0,0,1022,225,237,147,960,17,4,4
1168,2926,18,10,242,41,3336,212,219,143,2648,29,1,2
1169,2730,135,1,60,-9,1383,220,238,155,2335,23,1,5
1170,2777,62,10,484,43,150,229,218,121,819,17,3,5
1171,3319,50,17,551,28,1461,226,200,102,5109,24,2,1
1172,3474,149,20,242,67,4013,242,234,113,3881,33,3,7
1173,2815,101,14,228,61,1902,243,220,104,853,31,3,5
1174,3037,48,19,430,-8,3005,224,196,99,190,29,1,1
1175,2078,90,27,67,25,488,249,187,50,192,3,4,4
1176,3195,20,9,1045,114,2989,214,221,143,2363,32,3,2
1177,2833,65,18,242,45,1299,234,201,93,1406,10,3,2
1178,2283,101,31,210,86,680,253,182,32,1614,3,4,4
1179,2596,37,9,255,86,1450,220,219,134,1683,2,3,6
1180,2368,140,24,162,70,934,247,225,92,888,3,4,3
1181,2280,53,12,0,0,990,227,213,118,390,6,4,4
1182,2765,203,25,170,82,1275,198,252,176,1642,4,3,5
1183,2483,139,22,0,0,616,247,227,96,808,4,3,6
1184,2258,68,3,0,0,781,222,234,148,569,10,4,4
1185,3335,108,11,335,111,3036,239,227,118,3223,32,3,7
1186,2347,122,36,301,53,1064,253,186,27,631,6,4,4
1187,2420,162,7,0,0,1082,227,242,148,1150,16,3,6
1188,2503,351,18,192,72,1124,186,207,158,400,10,4,6
1189,2731,66,5,0,0,2826,225,230,141,4873,20,1,2
1190,2807,148,11,67,10,2321,234,239,135,1199,13,3,5
1191,2882,325,11,741,116,2226,191,227,176,847,11,3,5
1192,2352,235,17,255,58,872,189,253,198,488,6,4,4
1193,2259,131,35,283,159,750,251,198,43,242,3,4,4
1194,2066,325,23,0,0,976,158,209,188,242,10,4,4
1195,2736,102,14,418,157,1565,243,221,104,1045,11,3,3
1196,2801,138,22,108,52,1812,247,227,96,1158,13,3,5
1197,2141,64,33,175,90,242,229,154,31,459,4,4,6
1198,3280,148,9,95,15,3743,232,240,139,3596,38,1,7
1199,2396,294,23,153,52,1008,148,226,216,1546,10,4,6
1200,2076,275,3,0,0,1356,212,240,166,693,1,4,4
1201,3226,337,19,153,27,272,175,210,172,1369,23,2,1
1202,2751,45,15,190,38,2550,223,206,114,335,10,3,5
1203,2648,140,19,95,19,2353,244,231,108,2420,4,3,3
1204,3229,337,7,42,4,1935,204,230,165,242,35,3,7
1205,2300,331,26,30,18,1019,151,199,182,895,10,4,6
1206,3417,39,18,540,68,3400,218,198,110,1461,39,3,7
1207,2309,128,32,433,183,1188,252,201,50,684,3,4,4
1208,2743,305,20,365,132,1852,162,225,202,2377,10,3,6
1209,2185,101,28,85,45,1358,253,190,46,722,3,4,4
1210,2301,141,19,339,121,1172,244,232,109,1183,3,4,4
1211,2808,121,22,134,42,2058,251,217,83,1189,13,3,5
1212,3038,244,17,0,0,1468,184,251,203,2434,22,3,1
1213,2700,57,8,108,11,180,226,223,132,934,11,3,5
1214,3527,24,9,323,34,1489,215,220,141,1045,40,2,7
1215,3067,344,21,618,91,3444,172,202,165,1734,39,3,2
1216,3333,206,6,553,38,1001,216,246,165,1307,32,3,7
1217,2864,286,14,837,187,2220,181,239,197,1693,13,3,5
1218,2029,107,34,330,162,360,254,178,23,992,3,4,3
1219,2868,0,26,175,58,2568,173,183,139,918,31,3,2
1220,2282,304,17,335,207,1423,172,229,197,1008,2,4,3
1221,2607,202,26,242,100,1899,198,252,174,1613,2,3,3
1222,2210,34,11,30,9,732,219,216,132,1575,3,4,4
1223,2442,107,22,242,101,942,251,209,75,1018,5,4,3
1224,2809,185,25,313,143,2117,215,247,150,2147,10,3,3
1225,3096,0,8,170,16,618,208,225,154,1620,23,1,2
1226,3095,61,15,301,33,4816,231,208,106,579,30,1,2
1227,2570,68,30,67,18,2847,234,166,42,931,10,3,6
1228,2678,191,15,42,9,1149,218,250,162,618,2,3,3
1229,2710,24,6,272,11,30,217,227,147,716,17,3,5
1230,2373,336,10,0,0,685,197,226,168,1507,11,4,4
1231,2260,116,13,30,5,811,242,227,112,560,4,4,4
1232,3157,240,11,830,50,6131,198,250,188,1245,29,1,2
1233,2522,164,10,150,-5,1087,230,243,145,1463,4,3,3
1234,2295,185,8,30,0,1230,222,246,158,949,17,4,4
1235,3305,241,20,360,84,1917,178,252,208,3375,29,1,1
1236,2844,317,10,67,20,2758,194,231,178,2724,29,1,2
1237,2845,108,14,366,91,1752,243,223,107,860,13,3,5
1238,3276,240,14,108,1,2903,193,251,194,577,22,3,1
1239,2620,1,12,153,31,1693,203,217,152,4427,29,1,2
1240,2772,10,10,339,60,2949,209,220,148,1245,32,3,5
1241,3162,131,9,277,23,5143,235,235,131,2596,29,1,2
1242,2409,283,18,42,3,1248,166,238,210,283,10,4,6
1243,2867,275,19,379,35,987,164,240,214,1801,4,3,5
1244,2941,173,8,421,103,805,225,244,152,2245,33,3,5
1245,3366,329,11,690,95,1240,194,227,172,1549,38,3,7
1246,2551,172,11,319,97,708,228,245,148,997,4,3,3
1247,2881,117,16,90,-4,1115,246,223,101,633,32,3,1
1248,3461,158,13,849,228,2372,233,242,137,1442,35,1,7
1249,2625,16,14,335,25,1714,208,211,138,1974,10,3,6
1250,2090,105,31,42,18,618,254,186,36,67,3,4,4
1251,2908,277,12,0,0,1945,188,242,194,1158,19,3,5
1252,3328,59,14,90,-6,2079,230,210,110,3190,38,1,7
1253,2887,87,10,256,-3,1920,235,224,119,1429,32,3,5
1254,2551,32,4,0,0,1421,219,230,147,1114,17,3,3
1255,2291,76,17,60,19,1150,238,207,93,741,3,4,3
1256,3367,358,25,297,167,4369,173,185,142,3903,40,3,7
1257,2942,350,9,242,33,5032,203,224,160,1838,29,1,5
1258,3046,335,15,134,31,4530,185,218,172,1055,29,1,1
1259,3386,293,14,404,85,3628,180,236,196,1657,38,3,7
1260,3145,245,16,446,84,5928,185,251,202,1812,30,1,2
1261,3147,147,11,684,-18,750,235,239,134,1598,22,2,1
1262,2451,318,14,201,50,845,184,227,183,1075,2,3,6
1263,2752,332,6,342,24,2372,207,233,165,6131,12,1,2
1264,2009,348,13,30,7,67,196,219,161,671,17,4,3
1265,2535,273,4,331,31,60,209,241,170,1998,6,4,3
1266,3170,302,6,42,5,2995,203,237,174,1092,23,3,2
1267,3225,96,14,95,9,541,241,219,105,1956,22,1,1
1268,3371,133,9,42,5,4455,235,236,132,4334,23,3,7
1269,2679,40,7,0,0,2315,221,224,139,649,31,3,5
1270,2494,223,31,247,68,2018,166,251,205,127,4,3,3
1271,2601,158,11,360,96,830,232,242,139,1489,2,3,3
1272,2689,12,18,67,7,1542,200,202,135,1319,10,3,5
1273,2909,163,13,433,57,2724,232,243,140,2256,29,1,2
1274,2339,106,29,210,49,741,254,192,45,525,6,4,3
1275,2233,63,31,85,-7,930,230,161,41,983,5,4,6
1276,2857,87,21,175,-26,335,245,201,75,1760,30,1,2
1277,2748,43,9,30,0,1657,222,221,134,2611,23,1,5
1278,2664,66,9,309,45,1824,229,223,127,2212,2,3,6
1279,2623,21,23,240,75,382,198,185,115,1384,10,3,6
1280,3423,106,18,335,26,2215,247,216,91,3506,40,1,7
1281,2293,119,19,67,20,330,248,220,92,1572,4,4,4
1282,3057,39,19,626,144,4435,217,196,107,3955,29,1,1
1283,2021,342,16,30,2,576,185,214,167,437,17,4,4
1284,1977,42,33,256,128,228,205,149,55,752,5,4,6
1285,2373,130,27,350,79,418,252,213,69,997,3,4,3
1286,2187,303,27,42,19,624,135,215,215,1443,10,4,3
1287,2474,189,8,42,0,1061,221,246,160,911,4,3,3
1288,2858,2,20,192,5,2701,187,197,143,2202,29,1,2
1289,2303,122,26,525,145,1448,253,208,65,968,2,4,4
1290,2568,358,5,218,23,1359,211,230,156,1436,2,3,5
1291,2105,136,17,0,0,1397,244,231,109,824,1,4,4
1292,2193,265,36,108,75,592,110,229,244,677,10,4,3
1293,2475,22,23,210,110,721,199,185,114,1348,10,4,3
1294,2850,166,17,190,69,900,232,244,136,3036,11,3,5
1295,2414,328,23,360,167,836,156,206,185,1101,10,4,6
1296,2762,126,18,150,63,3383,247,225,99,5948,30,1,5
1297,2848,170,32,85,25,564,224,233,115,1273,13,3,5
1298,2809,141,22,247,-13,690,246,228,99,446,30,1,5
1299,3050,156,12,361,49,1523,234,241,136,638,13,3,1
1300,3042,233,7,134,16,750,208,247,176,990,13,3,1
1301,3144,37,10,67,7,1104,220,219,133,4899,22,2,1
1302,3474,117,6,907,241,2389,231,234,136,1397,35,1,7
1303,2366,22,31,240,96,769,185,159,95,696,10,4,6
1304,1962,87,20,124,50,124,245,203,79,541,3,4,3
1305,2971,325,15,420,45,5198,181,222,180,1782,29,1,5
1306,2704,93,20,60,14,1572,247,205,78,525,20,1,2
1307,3180,103,11,60,-1,2671,239,225,115,2869,33,3,1
1308,2952,55,4,30,0,4692,222,231,145,2322,23,1,5
1309,2674,80,4,297,38,1813,225,232,142,2290,2,3,3
1310,2129,142,5,30,1,1357,228,239,144,1323,17,4,4
1311,2365,324,22,323,59,1068,159,211,188,1290,10,4,6
1312,2880,86,12,30,3,4369,237,221,113,5906,30,1,2
1313,2831,236,7,752,66,2162,208,246,176,1741,17,3,5
1314,2212,62,7,0,0,1398,226,226,134,541,2,4,4
1315,3369,69,4,524,30,960,224,231,143,2373,32,3,7
1316,3412,359,9,430,73,1560,206,223,155,1300,38,3,7
1317,2200,300,39,124,58,716,88,194,230,566,10,4,3
1318,2898,324,7,67,15,1800,203,233,169,1471,32,3,5
1319,3022,74,7,124,9,1253,229,227,132,2525,29,1,2
1320,2665,126,15,446,21,722,244,229,110,458,2,3,3
1321,2338,61,2,0,0,430,221,234,149,1436,14,4,4
1322,3271,29,21,641,217,3664,208,190,111,1948,31,3,1
1323,2879,255,16,60,-6,1956,182,249,204,1425,23,3,5
1324,2812,89,26,277,158,297,248,188,53,1951,30,1,5
1325,2435,85,6,361,89,1252,228,230,136,738,6,4,6
1326,3375,138,20,234,30,4300,246,228,100,3268,33,3,7
1327,2741,47,11,30,6,1416,224,216,125,2362,23,1,5
1328,2143,27,20,0,0,1237,207,193,115,541,14,4,4
1329,2214,135,30,42,26,1273,250,211,66,1018,3,4,4
1330,2830,79,46,108,0,309,229,116,0,1579,30,1,5
1331,2299,175,16,0,0,1140,227,247,147,1026,17,4,4
1332,3369,281,6,306,47,3919,203,241,176,2021,38,3,7
1333,2365,267,23,42,6,1355,155,242,222,365,10,4,6
1334,2549,241,17,306,64,2348,186,252,201,509,4,3,3
1335,2417,37,10,90,30,914,220,218,132,1332,6,4,3
1336,2610,147,10,443,82,730,234,239,136,1495,2,3,3
1337,3018,106,9,150,3,2979,235,229,125,558,29,1,1
1338,2696,35,13,0,0,1661,218,211,126,3342,20,1,2
1339,2118,317,11,60,4,1129,191,231,179,1302,17,4,4
1340,3233,198,12,162,-13,3053,217,250,166,335,23,3,1
1341,3334,9,6,603,39,828,214,228,152,1554,32,3,7
1342,2174,11,32,120,49,1154,168,157,110,1080,10,4,3
1343,3349,113,15,277,56,2497,245,223,103,2546,39,1,7
1344,2759,183,20,182,41,510,221,249,152,671,30,1,5
1345,3424,92,11,700,191,2161,237,223,116,1572,35,1,7
1346,3093,177,19,277,20,2431,225,247,146,3378,33,3,2
1347,2585,342,10,350,130,511,200,226,164,300,2,3,6
1348,3074,239,1,404,19,3303,216,240,161,488,22,1,1
1349,2044,270,2,0,0,834,214,239,163,603,17,4,4
1350,2949,122,14,379,28,5131,242,229,113,2714,22,1,2
1351,2843,332,17,67,-1,1702,178,216,177,2529,33,3,2
1352,2623,199,25,323,116,2007,203,252,170,1693,2,3,3
1353,3409,348,16,134,40,1717,189,213,161,1954,39,2,7
1354,1999,28,15,270,77,330,213,207,127,886,1,4,6
1355,2149,108,37,124,77,646,253,170,9,42,3,4,4
1356,2111,34,2,0,0,661,219,235,153,534,4,4,4
1357,2243,141,30,108,62,1167,247,216,75,1126,3,4,4
1358,2041,61,6,0,0,757,225,228,137,648,17,4,4
1359,2559,170,10,60,8,1333,227,245,149,1283,4,3,3
1360,3246,191,18,216,-17,3458,217,251,162,663,33,3,2
1361,2255,350,41,180,111,1199,116,138,137,1423,10,4,3
1362,2800,329,21,313,65,1788,164,210,182,1050,10,3,5
1363,2055,162,10,0,0,872,231,243,143,295,1,4,4
1364,2406,295,28,42,21,1124,130,219,223,807,10,4,6
1365,3608,122,11,242,71,1848,238,232,123,1719,40,2,7
1366,2731,343,10,283,21,1207,200,225,163,1972,11,3,5
1367,3297,351,6,85,7,4089,210,230,159,3852,38,1,7
1368,2585,207,2,95,7,769,218,241,160,1328,11,3,3
1369,3423,275,25,255,112,1300,146,237,226,1667,40,2,7
1370,3298,85,10,192,55,3997,235,222,118,3978,38,1,7
1371,3177,180,13,306,61,2580,224,248,153,3123,33,3,2
1372,2955,9,10,85,10,5167,209,221,149,2819,16,1,1
1373,3155,359,12,390,46,4837,202,219,153,3022,30,1,1
1374,2742,134,22,150,69,3215,248,224,92,6091,30,1,2
1375,2274,275,17,150,32,1667,172,242,208,812,2,4,6
1376,3433,99,26,371,195,3814,252,194,54,3448,39,3,7
1377,2344,276,37,216,137,700,101,219,244,1667,10,4,3
1378,2300,94,36,30,28,1574,249,163,10,726,3,4,3
1379,2270,27,27,162,60,902,198,172,97,1173,10,4,6
1380,3182,252,14,216,41,2725,188,249,198,685,31,3,2
1381,2073,312,18,0,0,573,168,224,195,162,4,4,4
1382,3387,63,1,335,105,2148,220,236,153,2790,40,1,1
1383,2818,133,12,636,43,2117,239,234,124,1804,17,3,5
1384,3432,135,17,384,194,3703,245,230,108,3288,39,3,7
1385,2075,292,9,0,0,1383,196,239,183,722,17,4,4
1386,2756,357,16,361,72,2843,192,209,152,1318,32,3,5
1387,2466,312,16,175,35,1362,174,226,192,511,10,4,6
1388,2413,117,26,150,29,752,253,206,64,1260,5,4,3
1389,2394,339,26,450,68,997,157,194,171,1040,10,4,6
1390,2072,346,19,150,67,190,181,207,163,664,10,4,3
1391,3275,278,8,60,10,5461,197,242,184,313,38,1,2
1392,2328,91,16,492,34,1381,243,214,97,967,2,4,4
1393,2337,350,33,120,46,297,143,166,148,408,10,4,3
1394,3351,172,14,700,72,4291,228,246,146,2251,38,3,7
1395,2311,59,32,90,63,1020,224,155,40,1095,4,4,6
1396,2827,319,20,424,84,1889,166,218,191,977,10,3,5
1397,2405,130,15,402,158,1134,243,231,113,1146,2,4,3
1398,2384,131,9,430,187,649,235,235,132,1687,6,4,4
1399,2311,34,11,0,0,1205,219,216,132,1369,10,4,4
1400,2389,264,14,67,3,630,184,246,201,969,3,3,3
1401,2345,109,30,283,124,558,254,192,43,1744,3,4,4
1402,2925,349,8,0,0,2070,205,226,160,2135,23,3,1
1403,2381,274,21,85,22,1323,159,240,218,331,10,4,6
1404,2331,133,30,306,37,1041,251,210,63,601,3,4,4
1405,2214,357,5,0,0,1140,213,231,157,335,17,4,4
1406,2212,245,10,0,0,1140,200,248,186,492,1,4,4
1407,3064,150,22,90,9,4685,242,233,108,3055,29,1,2
1408,2511,48,6,541,84,421,222,227,140,882,6,4,6
1409,3427,128,31,330,108,2400,252,204,54,938,40,3,7
1410,2342,77,18,514,261,1458,240,205,89,1012,2,4,4
1411,3301,45,5,42,1,1874,222,228,142,914,39,3,7
1412,2588,26,16,309,83,1323,211,203,124,631,11,3,3
1413,2338,114,23,319,144,937,252,209,71,1406,3,4,4
1414,3196,67,7,573,115,1440,228,226,132,3475,33,3,1
1415,2725,103,22,228,92,2352,250,207,74,2316,10,3,3
1416,2226,84,21,0,0,960,244,200,76,997,6,4,4
1417,2303,34,19,127,48,270,214,195,111,1633,6,4,3
1418,3109,133,23,270,35,4265,249,221,86,792,30,1,2
1419,2121,331,27,0,0,1213,148,196,182,1127,17,4,4
1420,2524,129,9,0,0,2385,236,235,129,808,10,3,6
1421,2801,15,15,371,52,1822,206,209,138,1082,10,3,5
1422,2839,120,9,190,23,3055,236,233,128,2612,12,1,2
1423,2651,28,29,42,21,1230,195,164,90,755,33,3,6
1424,2665,25,13,295,40,335,213,212,133,301,10,3,2
1425,2960,104,20,150,41,3479,249,211,82,1663,30,1,2
1426,2304,232,30,67,36,1455,157,250,216,636,1,4,6
1427,2885,28,15,390,59,900,213,207,127,1567,11,3,2
1428,3396,95,17,446,239,1471,245,213,92,828,39,3,7
1429,2707,331,29,247,96,1878,140,191,183,2496,10,3,6
1430,2871,49,13,192,18,742,225,211,118,95,32,3,2
1431,3218,61,12,313,35,5649,230,215,117,2187,22,1,1
1432,3090,154,16,323,66,3529,237,239,127,2742,30,1,1
1433,2813,118,22,150,44,2065,251,215,80,1231,13,3,5
1434,2414,284,25,277,83,1560,143,231,224,474,10,4,6
1435,2128,55,18,127,73,277,229,199,97,547,10,4,3
1436,2432,308,19,330,126,1132,166,225,198,1289,6,4,6
1437,2583,298,31,67,42,1682,118,211,225,1492,13,3,6
1438,2764,167,17,268,34,2355,232,244,137,2280,4,3,3
1439,2058,137,35,85,49,331,248,202,50,361,6,4,3
1440,2823,92,21,182,101,1922,247,203,74,674,13,3,5
1441,3322,63,10,499,80,810,229,220,123,1236,39,3,7
1442,2094,92,35,67,43,466,248,163,12,201,3,4,4
1443,2712,17,24,366,-29,2880,192,182,118,2457,10,3,1
1444,2349,74,14,201,42,1012,236,212,104,977,3,4,3
1445,2357,318,23,270,110,953,154,212,195,979,10,4,6
1446,3305,161,16,446,26,4051,234,242,133,2012,38,3,7
1447,3442,227,8,755,242,2182,209,248,176,994,38,3,7
1448,3072,286,10,361,65,2561,193,240,186,1890,32,3,2
1449,2059,78,39,150,119,175,237,140,0,297,1,4,3
1450,2713,32,8,201,14,127,219,224,141,816,11,3,5
1451,2707,5,18,42,6,1242,195,203,143,2190,23,1,5
1452,2683,70,22,108,32,2134,237,190,73,2011,10,3,6
1453,2044,92,15,30,8,480,242,215,98,658,1,4,4
1454,2693,78,29,67,25,95,242,174,40,1524,30,1,5
1455,2106,194,23,30,7,1385,209,251,165,785,1,4,4
1456,2054,176,7,0,0,895,224,244,154,323,17,4,4
1457,3205,156,11,120,18,2285,233,241,139,1610,27,3,1
1458,2444,347,16,382,58,618,188,212,162,1205,10,4,6
1459,2742,334,10,319,62,1590,197,227,169,2037,11,3,3
1460,2584,345,11,30,4,1667,199,223,163,2892,17,3,6
1461,3393,92,7,573,-20,731,231,229,131,661,40,2,7
1462,2447,318,20,408,89,875,162,217,193,1149,10,4,6
1463,2900,122,7,240,11,2308,233,234,134,1461,24,3,1
1464,3301,9,15,541,173,1384,202,209,142,2190,33,3,2
1465,2620,146,5,324,75,1638,228,239,145,1842,2,3,3
1466,2290,297,25,365,214,1436,142,222,217,1020,10,4,3
1467,3156,74,21,124,7,1348,239,195,77,781,39,3,7
1468,3440,134,32,283,9,2526,250,207,59,1020,40,3,7
1469,3231,83,22,582,126,1116,244,197,71,2101,29,1,2
1470,3206,152,11,443,74,319,234,240,136,937,32,3,1
1471,3163,7,11,589,61,1760,206,217,148,2601,31,3,1
1472,2339,180,1,361,-49,67,219,239,157,618,2,4,3
1473,2588,1,14,234,30,402,199,213,150,890,10,3,3
1474,2914,104,4,391,41,2989,226,234,143,1995,29,1,2
1475,2876,167,8,30,0,182,226,243,150,1048,33,3,5
1476,2452,91,10,0,0,391,236,224,119,1290,6,4,4
1477,2869,342,13,240,74,1681,193,220,166,1786,31,3,6
1478,2943,84,31,342,199,1996,246,172,32,661,13,3,5
1479,2513,220,24,42,11,1651,184,254,197,457,4,3,3
1480,2368,142,21,30,8,467,245,230,103,1298,4,4,3
1481,2595,2,6,510,34,636,212,229,154,745,17,3,5
1482,2922,49,17,450,104,680,225,202,105,902,33,3,1
1483,2869,124,22,150,46,644,251,217,82,1276,13,3,5
1484,3257,90,26,120,26,2343,249,188,51,573,39,3,7
1485,2973,150,17,134,41,1339,240,237,121,3271,22,1,1
1486,3336,42,18,0,0,3644,220,199,108,2423,37,1,7
